trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.03192800063723,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-175.62721619535932,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-66.93499220102376,"{0: 15, 1: 6, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.96162447725851,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-103.44973854874276,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-87.47115689692968,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",35,0,-170.54042971724536,"{0: 19, 1: 9, 2: 4, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-151.90996031478804,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-113.64650880882434,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.72059657926732,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.24069258614391,"{0: 9, 1: 4, 2: 6, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-134.75778418486263,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.13879570248022,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.18556688220669,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-179.23833143422482,"{0: 9, 1: 4, 2: 9, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-178.68178214663277,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,6,-116.30057778427933,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 2}",1
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-156.69003154598462,"{0: 11, 1: 6, 2: 6, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-72.49900011164412,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-140.85019995837158,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-185.76087785424414,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-121.8094943327432,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-99.77848178856992,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-124.43487257315154,"{0: 18, 1: 2, 2: 9, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-131.16305459324016,"{0: 11, 1: 1, 2: 4, 3: 3, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,4,-82.35018305053953,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 1}",1
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-105.22637948093113,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-23.66599307362231,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-61.50993767919011,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-108.83526314324502,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
